t,z,a
0.4049999713897705,True,True
0.7599999904632568,True,True
1.1779999732971191,True,True
1.5240001678466797,True,True
1.9049999713897705,True,True
2.305000066757202,True,True
2.6510000228881836,True,False
2.99399995803833,False,False
3.4010000228881836,False,True
3.7690000534057617,False,True
4.128000020980835,False,False
4.4709999561309814,False,False
4.878000020980835,False,True
5.240999937057495,False,True
5.613000154495239,False,True
5.947999954223633,False,True
6.670000076293945,False,True
7.0350000858306885,False,True
7.436000108718872,False,True
7.781000137329102,False,False
8.124000072479248,False,False
8.45900011062622,False,False
8.812999963760376,False,False
9.121000051498413,False,False
9.455000162124634,False,False
9.797000169754028,True,False
10.157999992370605,True,False
10.501000165939331,True,False
10.924999952316284,True,False
11.348999977111816,True,False
11.687000036239624,True,False
12.052000045776367,True,False
12.371000051498413,True,False
12.753999948501587,True,False
13.38100004196167,True,False
13.756999969482422,True,False
14.071000099182129,True,False
14.414999961853027,True,False
14.752000093460083,True,False
15.154000043869019,True,False
15.490000009536743,False,False
15.86899995803833,True,False
16.219000101089478,True,False
16.611000061035156,True,False
16.95900011062622,False,False
17.347000122070312,True,False
17.776000022888184,True,False
18.131999969482422,True,False
18.47099995613098,True,False
18.868000030517578,False,False
19.20900011062622,True,False
19.986999988555908,False,False
20.360000133514404,False,True
20.697999954223633,False,True
21.062999963760376,False,True
21.460999965667725,False,True
21.858999967575073,False,True
22.235000133514404,False,False
22.633000135421753,False,False
23.008000135421753,False,False
23.401999950408936,False,False
23.802000045776367,True,False
24.16600012779236,True,False
24.52999997138977,True,False
24.875,True,False
25.27500009536743,True,False
25.6010000705719,True,False
25.92900013923645,True,False
26.615999937057495,True,False
26.96399998664856,True,False
27.320000171661377,True,False
27.743000030517578,True,False
28.16700005531311,True,False
28.526000022888184,True,False
28.930999994277954,True,False
29.296000003814697,True,True
29.631999969482422,True,True
29.983999967575073,True,True
30.561000108718872,True,True
