t,z,a
0.27500009536743164,True,True
0.5880000591278076,True,True
0.9289999008178711,True,True
1.2690000534057617,True,True
1.6010000705718994,True,True
1.9869999885559082,True,False
2.324000120162964,False,False
2.681999921798706,False,True
3.055999994277954,False,True
3.453000068664551,False,False
3.943000078201294,False,False
4.328999996185303,False,False
4.641000032424927,False,False
4.986999988555908,False,False
5.324000120162964,False,False
5.644999980926514,False,False
6.006999969482422,False,False
6.3440001010894775,False,False
6.661999940872192,False,True
7.062000036239624,False,True
7.385999917984009,False,True
7.75,False,True
8.07800006866455,False,True
8.48200011253357,False,True
8.812999963760376,False,False
9.15499997138977,False,True
9.578999996185303,False,True
10.2260000705719,False,True
10.575999975204468,False,False
10.95900011062622,False,False
11.309999942779541,False,False
11.655999898910522,False,False
11.974999904632568,True,False
12.365999937057495,True,False
12.699000120162964,True,False
13.03600001335144,True,False
13.496999979019165,True,False
13.82200002670288,True,False
14.167999982833862,True,False
14.497999906539917,True,False
14.894999980926514,False,False
15.236999988555908,True,False
15.597000122070312,True,False
16.009999990463257,True,False
16.32200002670288,False,False
16.64400005340576,True,False
16.993000030517578,False,False
17.41600012779236,True,False
17.757999897003174,True,False
18.12000012397766,True,False
18.460000038146973,True,False
18.847000122070312,True,False
19.240999937057495,True,False
19.575999975204468,False,False
19.941999912261963,False,False
20.299999952316284,False,False
20.664000034332275,True,False
20.997999906539917,False,False
21.384000062942505,False,False
21.740000009536743,False,False
22.10700011253357,False,False
22.486000061035156,False,False
22.812999963760376,False,False
23.176000118255615,False,True
23.575000047683716,False,True
23.92899990081787,False,True
24.27999997138977,False,False
24.66100001335144,False,False
25.081000089645386,False,True
25.41100001335144,False,True
25.76699995994568,False,False
26.140000104904175,False,False
26.526999950408936,False,False
26.872999906539917,True,False
27.19600009918213,True,False
27.588000059127808,True,False
27.930000066757202,True,False
28.30299997329712,True,False
28.64199995994568,True,False
29.043999910354614,True,False
29.377000093460083,True,False
29.700000047683716,True,True
30.13599991798401,True,True
