t,z,a
0.3250000476837158,True,True
0.7609999179840088,True,True
1.1470000743865967,True,True
1.5230000019073486,True,True
1.8910000324249268,True,True
2.299999952316284,True,True
2.684999942779541,True,False
3.049999952316284,False,False
3.4679999351501465,False,False
3.815000057220459,False,False
4.161999940872192,False,False
4.493000030517578,False,False
4.916000127792358,False,False
5.246000051498413,False,False
5.634999990463257,False,False
6.049000024795532,False,False
6.430999994277954,False,False
6.819999933242798,False,False
7.305999994277954,False,False
7.724999904632568,False,False
8.178999900817871,False,False
8.618000030517578,False,False
9.010999917984009,False,False
9.472000122070312,False,False
9.891999959945679,False,False
10.260999917984009,False,False
10.678999900817871,False,False
11.085999965667725,True,False
11.513999938964844,False,False
11.888999938964844,True,False
12.329999923706055,False,False
12.691999912261963,False,False
13.088000059127808,False,False
13.549000024795532,False,False
13.94700002670288,False,False
14.301000118255615,True,False
14.67300009727478,False,False
15.078999996185303,False,False
15.457000017166138,True,False
15.871999979019165,True,False
16.270999908447266,True,False
16.628999948501587,True,False
17.009000062942505,False,False
17.34500002861023,False,False
17.742000102996826,True,False
18.09500002861023,True,False
18.499000072479248,True,False
18.937000036239624,True,False
19.335000038146973,True,False
19.793999910354614,True,False
20.26800012588501,True,False
20.64300012588501,True,False
21.026000022888184,True,False
21.45300006866455,True,False
21.80999994277954,True,False
22.14199995994568,True,False
22.502000093460083,True,False
22.91000008583069,True,False
23.27500009536743,True,False
23.6489999294281,True,False
24.085000038146973,True,False
24.450000047683716,True,False
24.825999975204468,True,False
25.222000122070312,True,False
25.680000066757202,True,False
26.079999923706055,True,False
26.467999935150146,True,False
26.85199999809265,True,False
27.189000129699707,True,False
27.588000059127808,True,False
27.967000007629395,True,False
28.31599998474121,True,False
28.700999975204468,True,False
29.115000009536743,True,False
29.490000009536743,True,False
29.86299991607666,True,False
30.32200002670288,True,False
