t,z,a
0.3380000591278076,True,True
0.752000093460083,True,True
1.2060000896453857,True,True
1.6140000820159912,True,True
2.00600004196167,True,True
2.390000104904175,True,False
2.8500001430511475,False,False
3.240000009536743,False,True
3.6510000228881836,False,True
4.061000108718872,False,False
4.456000089645386,False,False
4.8399999141693115,False,False
5.203999996185303,False,False
5.627000093460083,False,False
6.077000141143799,False,False
6.444999933242798,False,True
6.897000074386597,False,True
7.286999940872192,False,True
7.650000095367432,False,True
8.09500002861023,False,True
8.499000072479248,False,True
8.910000085830688,False,False
9.436000108718872,False,False
9.901999950408936,False,False
10.314000129699707,True,False
10.755000114440918,True,False
11.125999927520752,True,False
11.680999994277954,True,False
12.102999925613403,True,False
12.473000049591064,True,False
12.828999996185303,True,False
13.227999925613403,True,False
13.589999914169312,True,False
13.960999965667725,True,False
14.377000093460083,True,False
14.766000032424927,True,False
15.13700008392334,True,False
15.532999992370605,True,False
16.02999997138977,True,False
16.380000114440918,True,False
16.750999927520752,True,False
17.217999935150146,True,False
17.591000080108643,True,False
17.997999906539917,True,False
18.447999954223633,True,False
18.825999975204468,True,False
19.20900011062622,True,False
19.65400004386902,True,False
20.02999997138977,True,False
20.407999992370605,True,False
21.039999961853027,True,False
21.424999952316284,True,False
22.042999982833862,True,False
22.430999994277954,True,False
22.7810001373291,True,False
23.200000047683716,True,False
23.63700008392334,True,False
23.993000030517578,True,False
24.371999979019165,True,False
24.801000118255615,True,False
25.19099998474121,True,False
25.564000129699707,True,False
26.01699995994568,True,False
26.388999938964844,True,False
26.753999948501587,True,False
27.164000034332275,True,False
27.674000024795532,True,False
28.07100009918213,True,False
28.545000076293945,True,False
28.936000108718872,True,False
29.30900001525879,True,False
29.68400001525879,True,False
30.128999948501587,True,False
