t,z,a
0.47099995613098145,True,True
0.8220000267028809,True,True
1.1369998455047607,True,True
1.4930000305175781,True,True
1.8209998607635498,True,True
2.187999963760376,True,True
2.5329999923706055,True,False
2.947000026702881,False,False
3.305999994277954,False,False
3.672999858856201,False,False
4.041999816894531,True,False
4.412999868392944,False,False
4.757999897003174,False,False
5.174000024795532,False,False
5.552999973297119,False,False
5.968999862670898,False,False
6.31499981880188,False,False
6.734999895095825,False,False
7.098999977111816,False,False
7.740999937057495,False,False
8.13100004196167,False,False
8.516999959945679,False,False
8.891000032424927,False,False
9.23199987411499,False,False
9.569999933242798,False,False
9.941999912261963,False,False
10.35699987411499,False,False
10.697999954223633,False,False
11.27999997138977,False,True
11.621999979019165,False,False
12.041999816894531,False,False
12.462999820709229,False,False
12.817999839782715,False,False
13.185999870300293,False,False
13.519999980926514,False,False
13.89299988746643,False,False
14.251999855041504,True,False
14.619999885559082,True,False
14.986999988555908,True,False
15.419999837875366,True,False
15.759999990463257,True,False
16.138000011444092,True,False
16.453999996185303,True,False
16.859999895095825,True,False
17.21399998664856,False,False
17.562000036239624,True,False
17.91100001335144,True,False
18.325000047683716,True,False
18.664000034332275,True,False
19.069999933242798,True,False
19.425999879837036,True,False
19.7979998588562,True,False
20.125,True,False
20.47000002861023,False,False
20.816999912261963,True,False
21.234999895095825,True,False
21.579999923706055,True,False
21.990999937057495,True,False
22.33399987220764,True,False
22.698999881744385,True,False
23.02900004386902,True,False
23.399999856948853,True,False
23.751999855041504,True,False
24.105000019073486,True,False
24.46299982070923,True,False
24.84500002861023,True,False
25.21499991416931,True,False
25.618000030517578,True,False
26.00499987602234,True,False
26.566999912261963,True,False
27.429999828338623,True,False
28.388999938964844,True,False
29.271999835968018,True,False
29.937000036239624,True,False
30.435999870300293,True,False
