t,z,a
0.29399991035461426,True,True
0.6289999485015869,True,True
1.2820000648498535,True,True
1.7400000095367432,True,True
2.1579999923706055,True,True
2.4779999256134033,True,False
2.8329999446868896,False,False
3.1519999504089355,False,True
3.556999921798706,False,True
3.9189999103546143,False,False
4.253000020980835,False,False
4.618000030517578,False,False
4.9670000076293945,False,True
5.319999933242798,False,True
5.684999942779541,False,True
6.11899995803833,False,True
6.490000009536743,False,False
6.802999973297119,False,True
7.190000057220459,False,False
7.499000072479248,False,False
7.858000040054321,False,False
8.214999914169312,False,False
8.604000091552734,False,False
8.91700005531311,True,False
9.270999908447266,True,False
9.674999952316284,True,False
10.003000020980835,False,False
10.36899995803833,False,False
10.75,False,False
11.132999897003174,False,False
11.562999963760376,False,False
11.894999980926514,False,False
12.299999952316284,False,False
12.647000074386597,False,False
12.996999979019165,False,False
13.323999881744385,False,True
13.71399998664856,False,False
14.052000045776367,False,True
14.39299988746643,False,True
14.77999997138977,False,True
15.135999917984009,False,True
15.470999956130981,False,True
15.822999954223633,False,True
16.236999988555908,False,True
16.57699990272522,False,False
16.8989999294281,False,False
17.256999969482422,False,False
17.59500002861023,False,False
17.921000003814697,True,False
18.253000020980835,True,False
18.604000091552734,False,False
18.937999963760376,True,False
19.277999877929688,True,False
19.582000017166138,True,False
19.961999893188477,True,False
20.27900004386902,False,False
20.591000080108643,False,False
20.91599988937378,False,False
21.32699990272522,False,False
21.66700005531311,False,False
21.996999979019165,False,False
22.336999893188477,False,False
22.729000091552734,True,False
23.049000024795532,False,False
23.39199995994568,False,False
23.763999938964844,True,False
24.1010000705719,False,False
24.46499991416931,True,False
24.825999975204468,True,False
25.332000017166138,True,False
25.77500009536743,True,False
26.157999992370605,True,False
26.486999988555908,True,False
26.825999975204468,True,False
27.16100001335144,True,True
27.509000062942505,True,True
27.83999991416931,True,True
28.171000003814697,True,True
28.532999992370605,True,True
28.907999992370605,True,True
29.25,True,True
29.596999883651733,True,False
29.92799997329712,True,False
30.346999883651733,True,False
