t,z,a
0.2760000228881836,True,True
0.7250001430511475,True,True
1.0940001010894775,True,True
1.5369999408721924,True,True
2.006999969482422,True,True
2.424999952316284,True,True
2.812000036239624,True,False
3.240999937057495,False,False
3.630000114440918,False,False
4.026000022888184,True,False
4.45799994468689,True,False
4.828000068664551,True,False
5.176000118255615,True,False
5.63100004196167,False,False
6.003000020980835,False,False
6.355999946594238,False,False
6.716000080108643,False,False
7.108000040054321,False,False
7.4720001220703125,False,False
7.875,False,False
8.292999982833862,False,False
8.683000087738037,False,False
9.092999935150146,False,True
9.532999992370605,False,False
9.897000074386597,False,False
10.286999940872192,False,False
10.725000143051147,False,False
11.115999937057495,False,False
11.473000049591064,False,False
11.891999959945679,False,False
12.273000001907349,False,False
12.61899995803833,False,False
13.009999990463257,False,False
13.509000062942505,False,False
13.878000020980835,False,False
14.255000114440918,False,False
14.658999919891357,False,False
15.038000106811523,False,False
15.574000120162964,False,False
15.95300006866455,False,False
16.490999937057495,False,False
16.914000034332275,False,False
17.30299997329712,False,False
17.657999992370605,False,True
18.036999940872192,False,False
18.44099998474121,False,False
18.814000129699707,False,False
19.187000036239624,False,False
19.663000106811523,False,False
20.04699993133545,False,False
20.431999921798706,False,False
20.789000034332275,True,False
21.26800012588501,True,False
21.67300009727478,True,False
22.062000036239624,True,False
22.502000093460083,True,False
22.937000036239624,True,False
23.378999948501587,False,False
23.801000118255615,False,False
24.164000034332275,False,False
24.51800012588501,True,False
24.947999954223633,False,False
25.328999996185303,False,False
25.799000024795532,False,False
26.252000093460083,False,False
26.763999938964844,False,False
27.328999996185303,False,False
27.713000059127808,False,False
28.094000101089478,True,False
28.697999954223633,False,False
29.189000129699707,True,False
29.824000120162964,False,False
30.21500015258789,False,False
