t,z,a
0.5099999904632568,True,True
0.937000036239624,True,True
1.2870001792907715,True,True
1.6720001697540283,True,True
2.0970001220703125,True,True
2.4680001735687256,True,True
3.0830001831054688,True,False
3.5,False,False
3.889000177383423,False,False
4.238000154495239,False,False
4.652000188827515,False,False
5.0299999713897705,False,False
5.364000082015991,False,True
5.690999984741211,False,True
6.071000099182129,False,True
6.420000076293945,False,True
6.789000034332275,False,True
7.171000003814697,False,True
7.504000186920166,False,True
7.856000185012817,False,True
8.30400013923645,False,True
8.753000020980835,False,False
9.131999969482422,False,False
9.490000009536743,True,False
9.88700008392334,True,False
10.265000104904175,True,False
10.63100004196167,True,False
10.979000091552734,True,False
11.367000102996826,True,False
11.700999975204468,True,False
12.062999963760376,True,False
12.483000040054321,True,False
12.823000192642212,True,False
13.17900013923645,True,False
13.6010000705719,True,False
13.960999965667725,True,False
14.366000175476074,True,False
14.837000131607056,True,False
15.182000160217285,True,False
15.496000051498413,True,False
15.85700011253357,True,False
16.271000146865845,True,True
16.638000011444092,True,True
17.03600001335144,True,True
17.479000091552734,True,True
17.82800006866455,True,True
18.177000045776367,True,True
18.550000190734863,True,False
18.902000188827515,True,False
19.26699995994568,True,False
19.64800000190735,True,False
20.008000135421753,True,False
20.39800000190735,True,False
20.73900008201599,True,False
21.183000087738037,True,False
21.561000108718872,True,False
21.945000171661377,True,False
22.302000045776367,True,False
22.687000036239624,True,False
23.03700017929077,True,False
23.437999963760376,True,False
23.828999996185303,True,False
24.25,True,False
24.611000061035156,True,False
24.967000007629395,True,False
25.46399998664856,True,False
25.8510000705719,True,False
26.216000080108643,True,False
26.639000177383423,True,False
27.008000135421753,True,False
27.39300012588501,True,False
27.838000059127808,True,False
28.21399998664856,True,False
28.62000012397766,True,False
29.098999977111816,True,False
29.527000188827515,True,False
29.93500018119812,True,False
30.377000093460083,True,False
