t,z,a,d
0.3380000591278076,True,True,False
0.752000093460083,True,True,False
1.2060000896453857,True,True,False
1.6140000820159912,True,True,False
2.00600004196167,True,True,False
2.390000104904175,True,False,False
2.8500001430511475,False,False,False
3.240000009536743,False,True,False
3.6510000228881836,False,True,False
4.061000108718872,False,False,False
4.456000089645386,False,False,False
4.8399999141693115,False,False,False
5.203999996185303,False,False,False
5.627000093460083,False,False,False
6.077000141143799,False,False,False
6.444999933242798,False,True,False
6.897000074386597,False,True,False
7.286999940872192,False,True,False
7.650000095367432,False,True,False
8.09500002861023,False,True,False
8.499000072479248,False,True,False
8.910000085830688,False,False,False
9.436000108718872,False,False,False
9.901999950408936,False,False,False
10.314000129699707,True,False,False
10.755000114440918,True,False,False
11.125999927520752,True,False,False
11.680999994277954,True,False,False
12.102999925613403,True,False,False
12.473000049591064,True,False,False
12.828999996185303,True,False,False
13.227999925613403,True,False,False
13.589999914169312,True,False,False
13.960999965667725,True,False,False
14.377000093460083,True,False,False
14.766000032424927,True,False,False
15.13700008392334,True,False,False
15.532999992370605,True,False,False
16.02999997138977,True,False,False
16.380000114440918,True,False,False
16.750999927520752,True,False,False
17.217999935150146,True,False,False
17.591000080108643,True,False,False
17.997999906539917,True,False,False
18.447999954223633,True,False,False
18.825999975204468,True,False,False
19.20900011062622,True,False,False
19.65400004386902,True,False,False
20.02999997138977,True,False,False
20.407999992370605,True,False,False
21.039999961853027,True,False,False
21.424999952316284,True,False,False
22.042999982833862,True,False,False
22.430999994277954,True,False,False
22.7810001373291,True,False,False
23.200000047683716,True,False,False
23.63700008392334,True,False,False
23.993000030517578,True,False,False
24.371999979019165,True,False,False
24.801000118255615,True,False,False
25.19099998474121,True,False,False
25.564000129699707,True,False,False
26.01699995994568,True,False,False
26.388999938964844,True,False,False
26.753999948501587,True,False,False
27.164000034332275,True,False,False
27.674000024795532,True,False,False
28.07100009918213,True,False,False
28.545000076293945,True,False,False
28.936000108718872,True,False,False
29.30900001525879,True,False,False
29.68400001525879,True,False,False
30.128999948501587,True,False,False
