t,z,a,d
0.4049999713897705,True,True,True
0.7599999904632568,True,True,True
1.1779999732971191,True,True,True
1.5240001678466797,True,True,True
1.9049999713897705,True,True,True
2.305000066757202,True,True,True
2.6510000228881836,True,False,True
2.99399995803833,False,False,True
3.4010000228881836,False,True,True
3.7690000534057617,False,True,True
4.128000020980835,False,False,True
4.4709999561309814,False,False,True
4.878000020980835,False,True,True
5.240999937057495,False,True,True
5.613000154495239,False,True,True
5.947999954223633,False,True,True
6.670000076293945,False,True,True
7.0350000858306885,False,True,True
7.436000108718872,False,True,True
7.781000137329102,False,False,True
8.124000072479248,False,False,True
8.45900011062622,False,False,True
8.812999963760376,False,False,True
9.121000051498413,False,False,True
9.455000162124634,False,False,True
9.797000169754028,True,False,True
10.157999992370605,True,False,True
10.501000165939331,True,False,True
10.924999952316284,True,False,True
11.348999977111816,True,False,True
11.687000036239624,True,False,True
12.052000045776367,True,False,True
12.371000051498413,True,False,True
12.753999948501587,True,False,True
13.38100004196167,True,False,True
13.756999969482422,True,False,True
14.071000099182129,True,False,True
14.414999961853027,True,False,True
14.752000093460083,True,False,True
15.154000043869019,True,False,True
15.490000009536743,False,False,True
15.86899995803833,True,False,True
16.219000101089478,True,False,True
16.611000061035156,True,False,True
16.95900011062622,False,False,True
17.347000122070312,True,False,True
17.776000022888184,True,False,True
18.131999969482422,True,False,True
18.47099995613098,True,False,True
18.868000030517578,False,False,True
19.20900011062622,True,False,True
19.986999988555908,False,False,True
20.360000133514404,False,True,True
20.697999954223633,False,True,True
21.062999963760376,False,True,True
21.460999965667725,False,True,True
21.858999967575073,False,True,True
22.235000133514404,False,False,True
22.633000135421753,False,False,True
23.008000135421753,False,False,True
23.401999950408936,False,False,True
23.802000045776367,True,False,True
24.16600012779236,True,False,True
24.52999997138977,True,False,True
24.875,True,False,True
25.27500009536743,True,False,True
25.6010000705719,True,False,True
25.92900013923645,True,False,True
26.615999937057495,True,False,True
26.96399998664856,True,False,True
27.320000171661377,True,False,True
27.743000030517578,True,False,True
28.16700005531311,True,False,True
28.526000022888184,True,False,True
28.930999994277954,True,False,True
29.296000003814697,True,True,True
29.631999969482422,True,True,True
29.983999967575073,True,True,True
30.561000108718872,True,True,True
