t,z,a,d
0.2820000648498535,True,True,False
0.687000036239624,True,True,False
1.0789999961853027,True,True,False
1.4670000076293945,True,True,False
1.8949999809265137,True,True,False
2.2760000228881836,True,True,False
2.680000066757202,True,False,False
3.109999895095825,False,False,False
3.4690001010894775,False,False,False
3.8450000286102295,False,False,False
4.197999954223633,False,False,False
4.591000080108643,False,False,False
4.9709999561309814,False,False,False
5.351000070571899,False,False,False
6.197999954223633,False,True,False
6.641999959945679,False,False,False
7.066999912261963,False,False,False
7.42300009727478,False,False,False
7.812999963760376,False,False,False
8.263000011444092,False,False,False
8.640000104904175,False,False,False
9.016999959945679,True,False,False
9.39299988746643,True,False,False
9.808000087738037,True,False,False
10.160000085830688,True,False,False
10.492000102996826,True,False,False
10.927000045776367,True,False,False
11.305999994277954,True,False,False
11.700000047683716,True,False,False
12.108999967575073,True,False,False
12.447999954223633,True,False,False
12.799000024795532,True,False,False
13.187000036239624,True,False,False
13.6010000705719,True,False,False
13.95199990272522,True,False,False
14.321000099182129,True,False,False
14.719000101089478,True,False,False
15.081000089645386,True,False,False
15.438999891281128,True,False,False
15.799999952316284,True,False,False
16.187000036239624,True,False,False
16.54200005531311,True,False,False
16.921000003814697,True,False,False
17.335999965667725,True,False,False
17.687999963760376,True,False,False
18.079999923706055,True,False,False
18.519999980926514,True,False,False
18.869999885559082,True,False,False
19.217999935150146,True,False,False
19.58399987220764,True,False,False
19.996999979019165,True,False,False
20.371999979019165,True,False,False
20.76099991798401,True,False,False
21.18499994277954,True,False,False
21.558000087738037,True,False,False
21.999000072479248,True,True,False
22.450999975204468,True,True,False
22.858999967575073,True,True,False
23.318000078201294,True,True,False
23.85699987411499,True,True,False
24.26900005340576,True,False,False
24.640000104904175,True,False,False
25.223999977111816,True,False,False
25.598999977111816,True,False,False
26.108999967575073,True,False,False
26.58999991416931,True,False,False
26.969000101089478,True,False,False
27.369999885559082,True,False,False
27.757999897003174,True,False,False
28.09999990463257,True,False,False
28.48799991607666,True,False,False
28.87999987602234,True,False,False
29.211999893188477,True,False,False
29.566999912261963,True,False,False
30.140000104904175,True,False,False
