t,z,a,d
0.33499979972839355,True,True,False
0.7400000095367432,True,True,False
1.1050000190734863,True,True,False
1.4709999561309814,True,True,False
1.870999813079834,True,True,False
2.263000011444092,True,False,False
2.617999792098999,False,True,False
3.0119998455047607,False,True,False
3.424999952316284,False,True,False
3.8339998722076416,False,True,False
4.250999927520752,False,False,False
4.613999843597412,False,True,False
4.952999830245972,False,True,False
5.357999801635742,False,True,False
5.7099997997283936,False,False,False
6.0849997997283936,False,False,False
6.559000015258789,False,False,False
6.935999870300293,False,False,False
7.360999822616577,False,False,False
7.822000026702881,True,False,False
8.164999961853027,True,False,False
8.531999826431274,True,False,False
9.0239999294281,True,False,False
9.46399998664856,True,False,False
9.832000017166138,False,False,False
10.260999917984009,False,False,False
10.684000015258789,True,False,False
11.042999982833862,True,False,False
11.430999994277954,True,False,False
11.875,True,False,False
12.217999935150146,True,False,False
12.567999839782715,True,False,False
13.003999948501587,True,False,False
13.399999856948853,True,False,False
13.796000003814697,True,False,False
14.205999851226807,True,False,False
14.756999969482422,True,False,False
15.092000007629395,True,False,False
15.450999975204468,True,False,False
15.865000009536743,True,False,False
16.210999965667725,True,False,False
16.58799982070923,True,False,False
17.026000022888184,True,False,False
17.417999982833862,True,False,False
17.74399995803833,True,False,False
18.125,True,False,False
18.54699993133545,True,False,False
18.881999969482422,True,False,False
19.244999885559082,True,False,False
19.663999795913696,True,False,False
20.01199984550476,True,False,False
20.383999824523926,True,False,False
20.82099986076355,True,False,False
21.179999828338623,True,False,False
21.52999997138977,True,False,False
21.90999984741211,True,False,False
22.35599994659424,True,False,False
22.751999855041504,True,False,False
23.22099995613098,True,False,False
23.615000009536743,True,False,False
24.009999990463257,True,False,False
24.46499991416931,True,False,False
24.870999813079834,True,False,False
25.264999866485596,True,False,False
25.625,True,False,False
26.0479998588562,True,False,False
26.65999984741211,True,True,False
27.149999856948853,True,True,False
27.592999935150146,True,True,False
27.971999883651733,True,True,False
28.40499997138977,True,True,False
28.88699984550476,True,False,False
29.26699995994568,True,False,False
29.7189998626709,True,False,False
30.126999855041504,True,False,False
