t,z,a
0.2720000743865967,True,True
0.628000020980835,True,True
0.9500000476837158,True,True
1.309000015258789,True,True
1.6519999504089355,True,True
2.008000135421753,True,False
2.36899995803833,False,True
2.7269999980926514,False,True
3.1100001335144043,False,True
3.440999984741211,False,True
3.7820000648498535,False,True
4.11899995803833,False,True
4.5290000438690186,False,True
4.888000011444092,False,True
5.281000137329102,False,False
5.7220001220703125,False,False
6.069000005722046,False,False
6.411999940872192,False,False
6.83299994468689,False,False
7.194000005722046,True,False
7.54200005531311,False,False
7.927000045776367,False,False
8.352999925613403,True,False
8.696000099182129,True,False
9.04200005531311,True,False
9.460999965667725,False,False
9.80299997329712,True,False
10.148000001907349,False,False
10.521000146865845,True,False
10.91700005531311,True,False
11.269000053405762,False,False
11.638000011444092,False,False
12.062999963760376,False,False
12.442000150680542,False,False
12.831000089645386,False,False
13.222000122070312,False,False
13.572999954223633,False,False
13.976999998092651,False,False
14.354000091552734,False,False
14.720999956130981,False,False
15.067000150680542,False,False
15.407999992370605,False,False
15.815999984741211,True,False
16.200999975204468,True,False
16.569000005722046,True,False
16.907999992370605,True,False
17.36300015449524,True,False
17.750999927520752,False,False
18.091000080108643,True,False
18.483999967575073,True,False
18.812999963760376,False,False
19.174999952316284,False,False
19.52900004386902,False,False
19.875,True,False
20.233999967575073,True,False
20.569999933242798,True,False
20.98200011253357,True,False
21.34500002861023,True,False
21.69000005722046,True,False
22.115000009536743,True,False
22.528000116348267,True,False
22.861999988555908,True,False
23.217000007629395,True,False
23.610000133514404,True,False
23.947999954223633,True,False
24.335999965667725,True,False
24.761000156402588,True,True
25.111999988555908,True,True
25.479000091552734,True,True
26.411999940872192,True,True
26.753000020980835,True,True
27.094000101089478,True,True
27.509000062942505,True,True
27.86400008201599,True,True
28.23900008201599,True,True
28.647000074386597,True,True
29.062999963760376,True,True
29.509000062942505,True,False
30.289999961853027,True,False
