t,z,a,d
0.5099999904632568,True,True,False
0.937000036239624,True,True,False
1.2870001792907715,True,True,False
1.6720001697540283,True,True,False
2.0970001220703125,True,True,False
2.4680001735687256,True,True,False
3.0830001831054688,True,False,False
3.5,False,False,False
3.889000177383423,False,False,False
4.238000154495239,False,False,False
4.652000188827515,False,False,False
5.0299999713897705,False,False,False
5.364000082015991,False,True,False
5.690999984741211,False,True,False
6.071000099182129,False,True,False
6.420000076293945,False,True,False
6.789000034332275,False,True,False
7.171000003814697,False,True,False
7.504000186920166,False,True,False
7.856000185012817,False,True,False
8.30400013923645,False,True,False
8.753000020980835,False,False,False
9.131999969482422,False,False,False
9.490000009536743,True,False,False
9.88700008392334,True,False,False
10.265000104904175,True,False,False
10.63100004196167,True,False,False
10.979000091552734,True,False,False
11.367000102996826,True,False,False
11.700999975204468,True,False,False
12.062999963760376,True,False,False
12.483000040054321,True,False,False
12.823000192642212,True,False,False
13.17900013923645,True,False,False
13.6010000705719,True,False,False
13.960999965667725,True,False,False
14.366000175476074,True,False,False
14.837000131607056,True,False,False
15.182000160217285,True,False,False
15.496000051498413,True,False,False
15.85700011253357,True,False,False
16.271000146865845,True,True,False
16.638000011444092,True,True,False
17.03600001335144,True,True,False
17.479000091552734,True,True,False
17.82800006866455,True,True,False
18.177000045776367,True,True,False
18.550000190734863,True,False,False
18.902000188827515,True,False,False
19.26699995994568,True,False,False
19.64800000190735,True,False,False
20.008000135421753,True,False,False
20.39800000190735,True,False,False
20.73900008201599,True,False,False
21.183000087738037,True,False,False
21.561000108718872,True,False,False
21.945000171661377,True,False,False
22.302000045776367,True,False,False
22.687000036239624,True,False,False
23.03700017929077,True,False,False
23.437999963760376,True,False,False
23.828999996185303,True,False,False
24.25,True,False,False
24.611000061035156,True,False,False
24.967000007629395,True,False,False
25.46399998664856,True,False,False
25.8510000705719,True,False,False
26.216000080108643,True,False,False
26.639000177383423,True,False,False
27.008000135421753,True,False,False
27.39300012588501,True,False,False
27.838000059127808,True,False,False
28.21399998664856,True,False,False
28.62000012397766,True,False,False
29.098999977111816,True,False,False
29.527000188827515,True,False,False
29.93500018119812,True,False,False
30.377000093460083,True,False,False
