t,z,a,d
0.2990000247955322,True,True,False
0.7400000095367432,True,True,False
1.1130001544952393,True,True,False
1.49399995803833,True,True,False
1.930999994277954,True,True,False
2.315000057220459,True,True,False
2.7250001430511475,False,False,False
3.1449999809265137,False,True,False
3.51200008392334,False,True,False
3.9010000228881836,False,False,False
4.296000003814697,False,False,False
4.634999990463257,False,True,False
5.016999959945679,False,True,False
5.376000165939331,False,True,False
5.802999973297119,False,True,False
6.190000057220459,False,True,False
6.583000183105469,False,True,False
7.077000141143799,False,False,False
7.433000087738037,False,False,False
7.835999965667725,False,False,False
8.266000032424927,True,False,False
8.67900013923645,True,False,False
9.065000057220459,True,False,False
9.485000133514404,True,False,False
9.868000030517578,True,False,False
10.231000185012817,False,False,False
10.648000001907349,False,False,False
11.070000171661377,True,False,False
11.427000045776367,False,False,False
11.782999992370605,True,False,False
12.20900011062622,False,False,False
12.585999965667725,True,False,False
12.957000017166138,True,False,False
13.410000085830688,True,False,False
13.824000120162964,True,False,False
14.2260000705719,True,False,False
14.664000034332275,True,False,False
15.037000179290771,True,False,False
15.39300012588501,True,False,False
15.82800006866455,True,False,False
16.23300004005432,True,False,False
16.585999965667725,True,False,False
17.00600004196167,True,False,False
17.432000160217285,True,False,False
17.88700008392334,True,False,False
18.29700016975403,True,False,False
18.717000007629395,True,False,False
19.177000045776367,True,False,False
19.585999965667725,True,False,False
20.02900004386902,True,False,False
20.42300009727478,True,False,False
20.879000186920166,True,False,False
21.26699995994568,True,False,False
21.66600012779236,True,False,False
22.106000185012817,True,False,False
22.621999979019165,True,False,False
23.00600004196167,True,False,False
23.463000059127808,True,False,False
23.881999969482422,True,False,False
24.33400011062622,True,False,False
24.69099998474121,True,False,False
25.103000164031982,True,False,False
25.46500015258789,True,False,False
25.919000148773193,True,False,False
26.335000038146973,True,False,False
26.693000078201294,True,False,False
27.123000144958496,True,False,False
27.527000188827515,True,False,False
27.866000175476074,True,False,False
28.263000011444092,True,False,False
28.84500002861023,True,False,False
29.252000093460083,True,False,False
29.608999967575073,True,False,False
30.038000106811523,True,False,False
