t,z,a
0.2689998149871826,True,True
0.6169998645782471,True,True
0.9659998416900635,True,True
1.3869998455047607,True,True
1.745999813079834,True,True
2.131999969482422,True,True
2.496999979019165,True,False
2.8899998664855957,False,False
3.2779998779296875,False,False
3.5999999046325684,False,False
3.984999895095825,True,False
4.317999839782715,False,False
4.674999952316284,False,False
5.059999942779541,False,False
5.389999866485596,False,False
5.724999904632568,False,False
6.072999954223633,False,False
6.4659998416900635,False,False
6.800999879837036,False,True
7.202999830245972,False,True
7.599999904632568,False,True
7.957000017166138,False,True
8.299999952316284,False,False
8.685999870300293,False,False
9.043999910354614,False,False
9.406999826431274,False,False
9.753999948501587,False,False
10.15499997138977,False,False
10.536999940872192,True,False
10.947999954223633,True,False
11.29699993133545,True,False
11.694000005722046,True,False
12.051999807357788,False,False
12.414000034332275,False,False
12.83299994468689,True,False
13.192999839782715,True,False
13.519999980926514,True,False
14.268999814987183,True,False
14.664999961853027,True,False
15.032999992370605,True,False
15.465999841690063,False,False
15.809000015258789,True,False
16.125,False,False
16.507999897003174,True,False
16.836999893188477,False,False
17.164000034332275,False,False
17.622999906539917,False,False
18.019999980926514,True,False
18.34999990463257,False,False
18.69700002670288,True,False
19.044999837875366,True,False
19.4229998588562,True,False
19.751999855041504,True,False
20.10199999809265,False,False
20.4689998626709,True,False
20.829999923706055,True,False
21.151999950408936,True,False
21.50499987602234,False,False
21.888000011444092,True,False
22.23099994659424,True,False
22.550999879837036,False,False
23.07200002670288,False,False
23.435999870300293,False,False
23.771999835968018,False,False
24.10699987411499,True,False
24.485999822616577,True,False
24.82799983024597,True,False
25.149999856948853,True,False
25.518999814987183,True,False
25.85099983215332,True,False
26.16699981689453,True,False
26.501999855041504,True,False
26.87999987602234,True,True
27.31599998474121,True,True
27.638000011444092,True,True
27.978999853134155,True,True
28.366999864578247,True,True
28.750999927520752,True,True
29.15999984741211,True,True
29.55900001525879,True,True
29.919999837875366,True,True
30.266000032424927,True,True
