t,z,a
0.39800000190734863,True,True
0.8000001907348633,True,True
1.1750001907348633,True,True
3.7900002002716064,True,True
6.439000129699707,True,False
7.041000127792358,False,False
7.38100004196167,False,False
7.960000038146973,False,True
8.305000066757202,False,True
8.647000074386597,False,True
9.052000045776367,False,True
9.396000146865845,False,True
9.719000101089478,False,True
10.047000169754028,False,True
10.42300009727478,False,True
10.799000024795532,False,True
11.144999980926514,False,True
11.559000015258789,False,True
11.910000085830688,False,True
12.277000188827515,False,False
12.636000156402588,False,False
13.04200005531311,True,False
13.407000064849854,True,False
13.74400019645691,False,False
14.189000129699707,True,False
14.562000036239624,False,False
15.025000095367432,False,False
15.420000076293945,False,False
15.784000158309937,False,False
16.124000072479248,False,False
16.50100016593933,False,False
16.894999980926514,False,True
17.24400019645691,False,True
17.600000143051147,False,True
18.008000135421753,False,True
18.669000148773193,False,True
19.026000022888184,False,True
19.42200016975403,False,False
19.814000129699707,False,False
20.171000003814697,False,False
20.558000087738037,False,False
20.969000101089478,True,False
21.31500005722046,True,False
21.723999977111816,True,False
22.042999982833862,True,False
22.402000188827515,True,False
22.755000114440918,False,False
23.16100001335144,True,False
23.52300000190735,True,False
23.865000009536743,True,False
24.229000091552734,True,False
24.618000030517578,True,False
25.028000116348267,True,False
25.4280002117157,False,False
25.868000030517578,False,False
26.201000213623047,False,False
26.54100012779236,False,False
26.936000108718872,True,False
27.265000104904175,False,False
27.61400008201599,True,False
27.97000002861023,True,False
28.413000106811523,True,False
28.755000114440918,True,False
29.105000019073486,False,False
29.509999990463257,True,False
29.8270001411438,True,False
30.16200017929077,True,False
