t,z,a,d
0.2560000419616699,True,True,True
0.6150000095367432,True,True,True
0.9660000801086426,True,True,True
1.3310000896453857,True,True,True
1.7410001754760742,True,True,True
2.070000171661377,True,False,True
2.436000108718872,False,True,True
2.7910001277923584,False,True,True
3.1740000247955322,False,True,True
3.5460000038146973,False,False,True
3.880000114440918,False,False,True
4.30400013923645,False,True,True
4.641000032424927,False,True,True
4.990000009536743,False,True,True
5.401000022888184,False,True,True
5.741000175476074,False,True,True
6.091000080108643,False,True,True
6.447999954223633,False,True,True
6.878999948501587,False,True,True
7.265000104904175,False,False,True
7.646000146865845,False,False,True
8.047000169754028,True,False,True
8.561000108718872,True,False,True
8.92799997329712,True,False,True
9.371999979019165,True,True,True
9.718000173568726,True,False,True
10.057000160217285,True,False,True
10.371000051498413,True,False,True
10.771000146865845,True,False,True
11.105999946594238,True,False,True
11.450999975204468,True,False,True
11.844000101089478,True,False,True
12.199000120162964,True,False,True
12.564000129699707,False,False,True
13.305999994277954,False,False,True
13.666000127792358,True,False,True
14.041000127792358,True,False,True
14.486000061035156,False,False,True
14.911999940872192,True,False,True
15.259000062942505,True,False,True
15.646000146865845,True,False,True
15.975000143051147,False,False,True
16.319000005722046,False,False,True
16.693000078201294,False,False,True
17.085999965667725,False,False,True
17.41600012779236,False,False,True
17.755000114440918,False,False,True
18.13100004196167,False,True,True
18.48200011253357,False,False,True
18.820000171661377,False,False,True
19.14400005340576,False,False,True
19.505000114440918,False,False,True
19.8510000705719,False,False,True
20.18400001525879,False,False,True
20.820000171661377,False,False,True
21.138999938964844,False,False,True
21.492000102996826,False,False,True
21.80999994277954,False,False,True
22.229000091552734,False,False,True
22.621999979019165,False,False,True
22.96500015258789,False,False,True
23.292999982833862,False,False,True
23.66700005531311,False,False,True
23.980000019073486,True,False,True
24.331000089645386,True,False,True
25.098000049591064,True,False,True
25.54700016975403,True,True,True
25.98200011253357,True,True,True
26.344000101089478,True,True,True
26.692000150680542,True,True,True
27.04100012779236,True,True,True
27.77500009536743,True,False,True
28.13700008392334,True,False,True
28.558000087738037,True,False,True
28.903000116348267,True,False,True
29.27999997138977,True,False,True
29.69099998474121,False,False,True
30.055999994277954,False,False,True
