t,z,a,d
0.43199992179870605,True,True,False
0.934999942779541,True,True,False
1.2850000858306885,True,True,False
1.628999948501587,True,True,False
2.0269999504089355,True,True,False
2.373000144958496,True,True,False
2.814000129699707,True,False,False
3.250999927520752,False,False,False
3.5929999351501465,False,False,False
3.949000120162964,False,False,False
4.308000087738037,True,False,False
4.716000080108643,False,False,False
5.075000047683716,False,False,False
5.419000148773193,False,False,False
5.814000129699707,False,False,False
6.174000024795532,False,False,False
6.552999973297119,False,False,False
6.937000036239624,False,False,False
7.371000051498413,False,False,False
7.749000072479248,False,False,False
8.11300015449524,False,False,False
8.558000087738037,False,False,False
8.956000089645386,False,False,False
9.375,False,False,False
9.930000066757202,False,False,False
10.305999994277954,False,False,False
10.693000078201294,True,False,False
11.128999948501587,True,False,False
11.489000082015991,True,False,False
11.903000116348267,True,False,False
12.317000150680542,True,False,False
12.693000078201294,True,False,False
13.061000108718872,True,False,False
13.483999967575073,True,False,False
13.84500002861023,True,False,False
14.19700002670288,True,False,False
14.63100004196167,True,False,False
15.003000020980835,True,False,False
15.371999979019165,True,False,False
15.739000082015991,True,False,False
16.91600012779236,True,False,False
17.317000150680542,True,False,False
17.67799997329712,True,False,False
18.069999933242798,True,True,False
18.5,True,True,False
18.86300015449524,True,True,False
19.223999977111816,True,True,False
19.611999988555908,True,True,False
20.032000064849854,True,True,False
20.38100004196167,True,True,False
20.755000114440918,True,False,False
21.187000036239624,True,False,False
21.562000036239624,True,False,False
21.939000129699707,True,False,False
22.319000005722046,True,False,False
22.727999925613403,True,False,False
23.11400008201599,True,False,False
23.467000007629395,True,False,False
23.83899998664856,True,False,False
24.206000089645386,True,False,False
24.621999979019165,True,False,False
25.02900004386902,True,False,False
25.38700008392334,True,False,False
25.759000062942505,True,False,False
26.18400001525879,True,False,False
26.59000015258789,True,False,False
26.942000150680542,True,False,False
27.39400005340576,True,False,False
27.7810001373291,True,False,False
28.169000148773193,True,False,False
28.542999982833862,True,False,False
28.944000005722046,True,False,False
29.35599994659424,True,False,False
29.873000144958496,True,False,False
30.35599994659424,True,False,False
